source,target,approximate,no map,combination,scenario,choice list,target_descriptions,source_descriptions
00845,A0472,1,0,0,0,0,"Enterocolitis due to Clostridium difficile, not specified as recurrent",Intestinal infection due to Clostridium difficile
00846,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to other anaerobes
00847,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to other gram-negative bacteria
00849,A048,1,0,0,0,0,Other specified bacterial intestinal infections,Intestinal infection due to other organisms
0085,A049,0,0,0,0,0,"Bacterial intestinal infection, unspecified","Bacterial enteritis, unspecified"
00861,A080,0,0,0,0,0,Rotaviral enteritis,Enteritis due to rotavirus
00862,A082,0,0,0,0,0,Adenoviral enteritis,Enteritis due to adenovirus
00863,A0811,1,0,0,0,0,Acute gastroenteropathy due to Norwalk agent,Enteritis due to norwalk virus
00864,A0819,1,0,0,0,0,Acute gastroenteropathy due to other small round viruses,Enteritis due to other small round viruses [SRV's]
00865,A0831,0,0,0,0,0,Calicivirus enteritis,Enteritis due to calicivirus
00866,A0832,0,0,0,0,0,Astrovirus enteritis,Enteritis due to astrovirus
00867,A0839,1,0,0,0,0,Other viral enteritis,Enteritis due to enterovirus nec
00869,A0839,1,0,0,0,0,Other viral enteritis,Enteritis due to other viral enteritis
0088,A088,1,0,0,0,0,Other specified intestinal infections,"Intestinal infection due to other organism, not elsewhere classified"
0090,A09,1,0,0,0,0,"Infectious gastroenteritis and colitis, unspecified","Infectious colitis, enteritis, and gastroenteritis"
0091,A09,1,0,0,0,0,"Infectious gastroenteritis and colitis, unspecified","Colitis, enteritis, and gastroenteritis of presumed infectious origin"
0092,A09,1,0,0,0,0,"Infectious gastroenteritis and colitis, unspecified",Infectious diarrhea
0093,A09,1,0,0,0,0,"Infectious gastroenteritis and colitis, unspecified",Diarrhea of presumed infectious origin
01000,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified"
01001,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, bacteriological or histological examination not done"
01002,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
01003,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
01004,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01005,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01006,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01010,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
01011,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
01012,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01014,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01015,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01016,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01080,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, unspecified"
01081,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
01082,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01083,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01084,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01085,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01086,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01090,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, unspecified"
01091,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
01092,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
01093,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01094,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01095,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01096,A157,1,0,0,0,0,Primary respiratory tuberculosis,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01100,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, unspecified"
01101,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
01102,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
01103,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
01104,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01105,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01106,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01110,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, unspecified"
01111,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
01112,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
01113,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
01114,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01115,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01116,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01120,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, unspecified"
01121,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
01122,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
01123,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
01124,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01125,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01126,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01130,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, unspecified"
01131,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, bacteriological or histological examination not done"
01132,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
01133,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
01134,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01135,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01136,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01140,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, unspecified"
01141,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01142,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
01143,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01144,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01145,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01146,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01150,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, unspecified"
01151,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
01152,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01153,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
01154,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01155,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01156,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01160,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], unspecified"
01161,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
01162,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
01163,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
01164,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01165,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01166,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01170,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, unspecified"
01171,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, bacteriological or histological examination not done"
01172,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
01173,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
01174,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01175,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01176,A150,1,0,0,0,0,Tuberculosis of lung,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01180,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, unspecified"
01181,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
01182,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01183,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01184,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01185,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01186,A150,1,0,0,0,0,Tuberculosis of lung,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01190,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, unspecified"
01191,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
01192,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
01193,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01194,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01195,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01196,A150,1,0,0,0,0,Tuberculosis of lung,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01200,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, unspecified"
01201,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, bacteriological or histological examination not done"
01202,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
01203,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
01204,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01206,A156,1,0,0,0,0,Tuberculous pleurisy,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01210,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, unspecified"
01211,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
01212,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
01213,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
01214,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01215,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01216,A154,1,0,0,0,0,Tuberculosis of intrathoracic lymph nodes,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01220,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, unspecified"
01221,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
01222,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
01223,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01224,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01225,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01226,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01230,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, unspecified"
01231,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, bacteriological or histological examination not done"
01232,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
01233,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
01234,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01235,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01236,A155,1,0,0,0,0,"Tuberculosis of larynx, trachea and bronchus","Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01280,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, unspecified"
01281,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
01282,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
01283,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01284,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01285,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01286,A158,1,0,0,0,0,Other respiratory tuberculosis,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01300,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, unspecified"
01301,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, bacteriological or histological examination not done"
01302,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
01303,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
01304,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01305,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01306,A170,1,0,0,0,0,Tuberculous meningitis,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01310,A171,1,0,0,0,0,Meningeal tuberculoma,"Tuberculoma of meninges, unspecified"
01311,A171,1,0,0,0,0,Meningeal tuberculoma,"Tuberculoma of meninges, bacteriological or histological examination not done"
01312,A171,1,0,0,0,0,Meningeal tuberculoma,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
